county,goreVotes,bushVotes,buchananVotes,absVotes,absBuchanan
Alachua,47365,34124,263,10694,40
Baker,2392,5610,73,1111,4
Bay,18850,38637,248,12587,37
Bradford,3075,5414,65,1126,4
Brevard,97318,115185,570,31811,83
Broward,387703,177902,795,48525,83
Calhoun,2155,2873,90,664,6
Charlotte,29645,35426,182,9612,23
Citrus,25525,29767,270,10191,40
Clay,14632,41736,186,7831,19
Collier,29921,60450,122,13046,25
Columbia,7047,10964,89,2377,11
Miami-Dade,328808,289533,560,41474,45
Desoto,3320,4256,36,1468,7
Dixie,1826,2697,29,651,8
Duval,107864,152098,652,31728,121
Escambia,40943,73017,502,21387,60
Flagler,13897,12613,83,3773,8
Franklin,2046,2454,33,846,5
Gadsden,9735,4767,38,1827,1
Gilchrist,1910,3300,29,608,2
Glades,1442,1841,9,507,3
Gulf,2397,3550,71,1427,16
Hamilton,1722,2146,23,816,0
Hardee,2339,3765,30,1056,0
Hendry,3240,4747,22,1128,4
Hernando,32644,30646,242,9274,24
Highlands,14167,20206,127,4141,17
Hillsborough,169557,180760,847,36952,70
Holmes,2177,5011,76,774,5
Indian River,19768,28635,105,6952,15
Jackson,6868,9138,102,1791,8
Jefferson,3041,2478,29,812,4
Lafayette,789,1670,10,436,2
Lake,36571,50010,289,11790,28
Lee,73560,106141,305,20365,48
Leon,61427,39062,282,18648,57
Levy,5398,6858,67,1516,1
Liberty,1017,1317,39,211,0
Madison,3014,3038,29,737,4
Manatee,49177,57952,271,13441,33
Marion,44665,55141,563,11470,55
Martin,26620,33970,112,9980,27
Monroe,16483,16059,47,6732,8
Nassau,6952,16404,90,3632,7
Okaloosa,16948,52093,267,14245,32
Okeechobee,4588,5057,43,1710,8
Orange,140220,134517,446,38866,64
Osceola,28181,26212,145,5581,20
Palm Beach,269732,152951,3411,45830,101
Pasco,69564,68582,570,14571,56
Pinellas,200630,184825,1013,45116,129
Polk,75200,90295,533,20896,69
Putnam,12102,13447,148,3086,16
Santa Rosa,12802,36274,311,7775,23
Sarasota,72853,83100,305,21378,40
Seminole,59174,75677,194,15466,20
St. Johns,19502,39546,229,9613,34
St. Lucie,41559,34705,124,8871,16
Sumter,9637,12127,114,2935,14
Suwannee,4075,8006,108,1664,14
Taylor,2649,4056,27,1106,2
Union,1407,2332,37,661,3
Volusia,97304,82357,498,28018,82
Wakulla,3838,4512,46,1101,6
Walton,5642,12182,120,3084,19
Washington,2798,4994,88,1079,9
